id,position_code,position_name,level,sort,city_only,deleted,parent_code,parent_name,g_parent_code,g_parent_name,combine_code,combine_name,mark,belong
222407,100000,技术,1,11,0.0,0,100000,技术,100000,技术,100000.0,技术,0,0
222408,100100,后端开发,2,1,0.0,0,100000,技术,100000,技术,100100.0,后端开发,0,0
222423,100200,移动开发,2,1,0.0,0,100000,技术,100000,技术,100200.0,移动开发,0,0
222434,100300,测试,2,1,0.0,0,100000,技术,100000,技术,100300.0,测试,0,0
222440,100400,运维/技术支持,2,1,0.0,0,100000,技术,100000,技术,100400.0,运维/技术支持,0,0
222446,100500,数据,2,1,0.0,0,100000,技术,100000,技术,100500.0,数据,0,0
222447,100600,项目管理,2,1,0.0,0,100000,技术,100000,技术,100600.0,项目管理,0,0
222449,100700,高端技术职位,2,101,0.0,0,100000,技术,100000,技术,100700.0,高端技术职位,0,0
222582,100800,硬件开发,2,1,0.0,0,100000,技术,100000,技术,100800.0,硬件开发,0,0
222583,100900,前端开发,2,1,0.0,0,100000,技术,100000,技术,100900.0,前端开发,0,0
222673,101000,通信,2,1,0.0,0,100000,技术,100000,技术,101000.0,通信,0,0
222763,101100,其他技术职位,2,111,0.0,0,100000,技术,100000,技术,101100.0,其他技术职位,0,0
223087,101200,销售技术支持,2,106,0.0,0,100000,技术,100000,技术,101200.0,销售技术支持,0,0
223105,101300,人工智能,2,102,0.0,0,100000,技术,100000,技术,101300.0,人工智能,0,0
223281,101400,电子/半导体,2,1,0.0,0,100000,技术,100000,技术,101400.0,电子/半导体,0,0
222409,100101,Java,3,1,0.0,0,100100,后端开发,100000,技术,100101.0,Java,11,0
222410,100102,C++,3,1,0.0,0,100100,后端开发,100000,技术,100102.0,C++,11,0
222411,100103,PHP,3,1,0.0,0,100100,后端开发,100000,技术,100103.0,PHP,11,0
222413,100105,C,3,1,0.0,0,100100,后端开发,100000,技术,100105.0,C,11,0
222414,100106,C#,3,1,0.0,0,100100,后端开发,100000,技术,100106.0,C#,11,0
222415,100107,.NET,3,1,0.0,0,100100,后端开发,100000,技术,100107.0,.NET,11,0
222416,100108,Hadoop,3,1,0.0,0,100100,后端开发,100000,技术,100108.0,Hadoop,11,0
222417,100109,Python,3,1,0.0,0,100100,后端开发,100000,技术,100109.0,Python,11,0
222418,100110,Delphi,3,1,0.0,0,100100,后端开发,100000,技术,100110.0,Delphi,11,0
222419,100111,VB,3,1,0.0,0,100100,后端开发,100000,技术,100111.0,VB,11,0
222420,100112,Perl,3,1,0.0,0,100100,后端开发,100000,技术,100112.0,Perl,11,0
222421,100113,Ruby,3,1,0.0,0,100100,后端开发,100000,技术,100113.0,Ruby,11,0
222422,100114,Node.js,3,1,0.0,0,100100,后端开发,100000,技术,100114.0,Node.js,11,0
222579,100116,Golang,3,1,0.0,0,100100,后端开发,100000,技术,100116.0,Golang,11,0
222782,100119,Erlang,3,1,0.0,0,100100,后端开发,100000,技术,100119.0,Erlang,11,0
223101,100121,语音/视频/图形开发,3,1,0.0,0,100100,后端开发,100000,技术,100121.0,语音/视频/图形开发,11,0
