position_code,skill_id,skill_score
Chief Executives,Reading Comprehension,4.12
Chief Executives,Reading Comprehension,4.75
Chief Executives,Active Listening,4.12
Chief Executives,Active Listening,4.88
Chief Executives,Writing,4.0
Chief Executives,Writing,4.38
Chief Executives,Speaking,4.38
Chief Executives,Speaking,4.88
Chief Executives,Mathematics,3.25
Chief Executives,Mathematics,3.62
Chief Executives,Science,1.88
Chief Executives,Science,1.12
Chief Executives,Critical Thinking,4.38
Chief Executives,Critical Thinking,4.75
Chief Executives,Active Learning,4.0
Chief Executives,Active Learning,4.75
Chief Executives,Learning Strategies,3.12
Chief Executives,Learning Strategies,3.88
Chief Executives,Monitoring,4.12
Chief Executives,Monitoring,5.5
Chief Executives,Social Perceptiveness,4.25
Chief Executives,Social Perceptiveness,4.25
Chief Executives,Coordination,4.25
Chief Executives,Coordination,5.12
Chief Executives,Persuasion,4.12
Chief Executives,Persuasion,5.0
Chief Executives,Negotiation,4.12
Chief Executives,Negotiation,4.62
Chief Executives,Instructing,3.12
Chief Executives,Instructing,3.88
Chief Executives,Service Orientation,3.12
Chief Executives,Service Orientation,3.38
Chief Executives,Complex Problem Solving,4.38
Chief Executives,Complex Problem Solving,5.0
Chief Executives,Operations Analysis,3.12
Chief Executives,Operations Analysis,4.25
Chief Executives,Technology Design,1.75
Chief Executives,Technology Design,0.75
Chief Executives,Equipment Selection,1.12
Chief Executives,Equipment Selection,0.62
Chief Executives,Installation,1.0
Chief Executives,Installation,0.0
Chief Executives,Programming,1.62
Chief Executives,Programming,0.62
Chief Executives,Operations Monitoring,1.88
Chief Executives,Operations Monitoring,1.62
Chief Executives,Operation and Control,1.75
Chief Executives,Operation and Control,1.5
Chief Executives,Equipment Maintenance,1.0
Chief Executives,Equipment Maintenance,0.0
Chief Executives,Troubleshooting,1.0
Chief Executives,Troubleshooting,0.0
Chief Executives,Repairing,1.0
Chief Executives,Repairing,0.0
Chief Executives,Quality Control Analysis,1.75
Chief Executives,Quality Control Analysis,1.0
Chief Executives,Judgment and Decision Making,4.5
Chief Executives,Judgment and Decision Making,5.75
Chief Executives,Systems Analysis,4.12
Chief Executives,Systems Analysis,5.38
Chief Executives,Systems Evaluation,4.12
Chief Executives,Systems Evaluation,5.12
Chief Executives,Time Management,4.0
Chief Executives,Time Management,4.75
Chief Executives,Management of Financial Resources,4.12
Chief Executives,Management of Financial Resources,5.5
Chief Executives,Management of Material Resources,3.88
Chief Executives,Management of Material Resources,4.75
Chief Executives,Management of Personnel Resources,4.25
Chief Executives,Management of Personnel Resources,5.38
Chief Sustainability Officers,Reading Comprehension,4.0
Chief Sustainability Officers,Reading Comprehension,4.25
Chief Sustainability Officers,Active Listening,4.0
Chief Sustainability Officers,Active Listening,4.0
Chief Sustainability Officers,Writing,4.12
Chief Sustainability Officers,Writing,4.25
Chief Sustainability Officers,Speaking,4.0
Chief Sustainability Officers,Speaking,4.12
Chief Sustainability Officers,Mathematics,2.88
Chief Sustainability Officers,Mathematics,3.12
Chief Sustainability Officers,Science,2.12
Chief Sustainability Officers,Science,1.88
Chief Sustainability Officers,Critical Thinking,4.12
Chief Sustainability Officers,Critical Thinking,4.12
Chief Sustainability Officers,Active Learning,3.75
Chief Sustainability Officers,Active Learning,3.88
Chief Sustainability Officers,Learning Strategies,3.38
Chief Sustainability Officers,Learning Strategies,3.75
Chief Sustainability Officers,Monitoring,3.75
Chief Sustainability Officers,Monitoring,4.0
Chief Sustainability Officers,Social Perceptiveness,3.88
Chief Sustainability Officers,Social Perceptiveness,3.88
Chief Sustainability Officers,Coordination,3.75
Chief Sustainability Officers,Coordination,3.88
Chief Sustainability Officers,Persuasion,3.88
Chief Sustainability Officers,Persuasion,4.0
Chief Sustainability Officers,Negotiation,3.12
Chief Sustainability Officers,Negotiation,3.25
Chief Sustainability Officers,Instructing,3.25
Chief Sustainability Officers,Instructing,3.38
Chief Sustainability Officers,Service Orientation,3.25
Chief Sustainability Officers,Service Orientation,3.25
Chief Sustainability Officers,Complex Problem Solving,4.0
Chief Sustainability Officers,Complex Problem Solving,4.12
Chief Sustainability Officers,Operations Analysis,2.88
Chief Sustainability Officers,Operations Analysis,3.12
Chief Sustainability Officers,Technology Design,1.88
Chief Sustainability Officers,Technology Design,1.12
Chief Sustainability Officers,Equipment Selection,1.12
Chief Sustainability Officers,Equipment Selection,0.25
Chief Sustainability Officers,Installation,1.0
Chief Sustainability Officers,Installation,0.0
Chief Sustainability Officers,Programming,1.88
Chief Sustainability Officers,Programming,1.12
Chief Sustainability Officers,Operations Monitoring,2.0
Chief Sustainability Officers,Operations Monitoring,1.88
Chief Sustainability Officers,Operation and Control,2.0
Chief Sustainability Officers,Operation and Control,1.0
Chief Sustainability Officers,Equipment Maintenance,1.0
Chief Sustainability Officers,Equipment Maintenance,0.0
Chief Sustainability Officers,Troubleshooting,1.0
Chief Sustainability Officers,Troubleshooting,0.0
Chief Sustainability Officers,Repairing,1.0
Chief Sustainability Officers,Repairing,0.0
Chief Sustainability Officers,Quality Control Analysis,1.88
Chief Sustainability Officers,Quality Control Analysis,1.5
Chief Sustainability Officers,Judgment and Decision Making,3.88
Chief Sustainability Officers,Judgment and Decision Making,4.0
Chief Sustainability Officers,Systems Analysis,3.88
Chief Sustainability Officers,Systems Analysis,4.0
Chief Sustainability Officers,Systems Evaluation,3.88
Chief Sustainability Officers,Systems Evaluation,4.0
Chief Sustainability Officers,Time Management,3.38
Chief Sustainability Officers,Time Management,3.88
Chief Sustainability Officers,Management of Financial Resources,2.88
Chief Sustainability Officers,Management of Financial Resources,3.12
Chief Sustainability Officers,Management of Material Resources,2.25
Chief Sustainability Officers,Management of Material Resources,2.62
Chief Sustainability Officers,Management of Personnel Resources,3.12
Chief Sustainability Officers,Management of Personnel Resources,4.0
General and Operations Managers,Reading Comprehension,3.88
General and Operations Managers,Reading Comprehension,4.0
General and Operations Managers,Active Listening,4.0
General and Operations Managers,Active Listening,4.0
General and Operations Managers,Writing,3.25
General and Operations Managers,Writing,3.88
